Método,Función,Dim,f* media,f* std,f* mejor,Éxito (%),Evals
EA,Rosenbrock,2,0.007432492355217801,0.009262033662443657,1.6538002269307633e-08,13.333333333333334,50100
PSO,Rosenbrock,2,1.5812824485333787e-07,4.258333742577036e-07,1.893531047048832e-10,100.0,25000
DE,Rosenbrock,2,4.979684464207637e-30,0.0,4.979684464207637e-30,100.0,3945
EA,Rosenbrock,3,0.485587349674192,0.62033601644381,0.00022604326912324628,0.0,50100
PSO,Rosenbrock,3,0.04901595066331879,0.11973998383159257,6.094754068051347e-06,10.0,25000
DE,Rosenbrock,3,9.959368928415274e-30,0.0,9.959368928415274e-30,100.0,11401
EA,Rastrigin,2,0.0,0.0,0.0,100.0,50100
PSO,Rastrigin,2,0.0,0.0,0.0,100.0,25000
DE,Rastrigin,2,0.0,0.0,0.0,100.0,2007
EA,Rastrigin,3,0.0001398930260930816,0.000753346859926382,0.0,100.0,50100
PSO,Rastrigin,3,7.08620374349304e-07,3.813006355740438e-06,0.0,100.0,25000
DE,Rastrigin,3,0.06633060380622051,0.24818639370072065,0.0,93.33333333333333,4482
EA,Schwefel,2,16.39735386404553,37.55023009568027,2.5455132345086895e-05,80.0,50100
PSO,Schwefel,2,0.22391203849761798,0.3447287366210796,2.5455132345086895e-05,96.66666666666667,25000
DE,Schwefel,2,19.739747899768954,44.13936124318541,2.5455132345086895e-05,83.33333333333334,1468
EA,Schwefel,3,84.73211076247094,91.69222997700092,3.818269851763034e-05,36.666666666666664,50100
PSO,Schwefel,3,32.30587076680289,26.392387363879337,0.13352234223839332,3.3333333333333335,25000
DE,Schwefel,3,3.9479826733134207,21.260331731377484,3.818269874500402e-05,96.66666666666667,3216
EA,Griewank,2,0.016875334546216036,0.012520824026657577,0.0,46.666666666666664,50100
PSO,Griewank,2,0.0018538565868837027,0.0030933702171828284,2.220446049250313e-16,100.0,25000
DE,Griewank,2,0.00624598317195301,0.00531549566926748,0.0,93.33333333333333,2320
EA,Griewank,3,0.05942811945329733,0.04839391798229206,0.00985728460782076,6.666666666666667,50100
PSO,Griewank,3,0.013478244271191117,0.00863829618729029,8.58527371416784e-09,43.333333333333336,25000
DE,Griewank,3,0.006737164789623665,0.009459219035305786,0.0,93.33333333333333,6223
EA,Goldstein-Price,2,2.999999999999924,2.3694007910910444e-15,2.999999999999921,100.0,50100
PSO,Goldstein-Price,2,2.9999999999999343,7.42926429749026e-15,2.9999999999999236,100.0,25000
DE,Goldstein-Price,2,3.000000000246508,2.1512128993634172e-10,3.0000000000001616,100.0,965
EA,Camel 6-hump,2,-1.0316284534898772,2.220446049250313e-16,-1.0316284534898774,100.0,50100
PSO,Camel 6-hump,2,-1.0316284534898772,2.220446049250313e-16,-1.0316284534898774,100.0,25000
DE,Camel 6-hump,2,-1.0316284534469218,6.191261388033285e-11,-1.0316284534897708,100.0,858
